GEOID,NAME,variable,estimate,moe,geometry
24033807410,Census Tract 8074.10; Prince George's County; Maryland,B19013_001,85078,15504,"list(list(c(-76.95558, -76.951996, -76.951772, -76.947775, -76.947431, -76.946311, -76.943789, -76.940872, -76.936743, -76.938442, -76.937686, -76.938469, -76.941905, -76.946314, -76.947698, -76.94809, -76.952721, -76.95558, 39.039938, 39.044808, 39.045307, 39.050589, 39.050986, 39.052415, 39.051498, 39.052516, 39.051209, 39.048863, 39.047118, 39.046663, 39.044588, 39.041757, 39.039742, 39.04013, 39.039016, 39.039938)))"
24033803700,Census Tract 8037; Prince George's County; Maryland,B19013_001,102125,26280,"list(list(c(-76.897552, -76.892029, -76.891883, -76.888817, -76.888263, -76.888047, -76.886038, -76.885364, -76.881442, -76.880831, -76.882601, -76.885025, -76.884457, -76.886479, -76.887346, -76.892311, -76.893121, -76.897552, 38.945536, 38.947045, 38.947078, 38.947968, 38.948196, 38.948006, 38.947431, 38.947378, 38.945619, 38.943433, 38.942401, 38.938988, 38.938762, 38.937423, 38.937746, 38.940171, 38.94404, 38.945536)))"
24033803508,Census Tract 8035.08; Prince George's County; Maryland,B19013_001,76719,25822,"list(list(c(-76.873237, -76.87241, -76.871046, -76.869956, -76.867608, -76.864919, -76.864011, -76.860973, -76.860602, -76.860687, -76.86022, -76.856615, -76.855037, -76.85502, -76.854741, -76.854459, -76.853693, -76.851808, -76.856954, -76.860193, -76.860154, -76.864734, -76.868701, -76.870547, -76.874343, -76.873237, 38.927743, 38.928597, 38.929829, 38.930685, 38.932184, 38.933875, 38.934464, 38.933176, 38.932528, 38.931273, 38.931855, 38.932439, 38.933103, 38.932968, 38.930647, 38.928235, 38.923611, 
38.9172, 38.917159, 38.918113, 38.918241, 38.920819, 38.923521, 38.924517, 38.926279, 38.927743)))"
24033805500,Census Tract 8055; Prince George's County; Maryland,B19013_001,86384,20411,"list(list(c(-76.986869, -76.986044, -76.986664, -76.985735, -76.98494, -76.984787, -76.979382, -76.978294, -76.973681, -76.972787, -76.977383, -76.978556, -76.978464, -76.979399, -76.979483, -76.979617, -76.983181, -76.990536, -76.986869, 38.976879, 38.977611, 38.979183, 38.982711, 38.985297, 38.987182, 38.984005, 38.983641, 38.983982, 38.984068, 38.979589, 38.978731, 38.976051, 38.974401, 38.972764, 38.972272, 38.974099, 38.975643, 38.976879)))"
24033802107,Census Tract 8021.07; Prince George's County; Maryland,B19013_001,81971,10412,"list(list(c(-76.909559, -76.905175, -76.903865, -76.903074, -76.902984, -76.895533, -76.895343, -76.89528, -76.898256, -76.899147, -76.900744, -76.901183, -76.903568, -76.901903, -76.900411, -76.902596, -76.904183, -76.908573, -76.911502, -76.909559, 38.8414, 38.84508, 38.847533, 38.849066, 38.849326, 38.846628, 38.844908, 38.843193, 38.842856, 38.843143, 38.84254, 38.84222, 38.841159, 38.836664, 38.836049, 38.835738, 38.837096, 38.838819, 38.839059, 38.8414)))"
24033803520,Census Tract 8035.20; Prince George's County; Maryland,B19013_001,175698,37618,"list(list(c(-76.839076, -76.839075, -76.835058, -76.825702, -76.818704, -76.812212, -76.808149, -76.798534, -76.798564, -76.799528, -76.803041, -76.806683, -76.806872, -76.803909, -76.803318, -76.803433, -76.803558, -76.812601, -76.81529, -76.817179, -76.819902, -76.82008, -76.820314, -76.823456, -76.82825, -76.828097, -76.828884, -76.832769, -76.834187, -76.837952, -76.836458, -76.834804, -76.833225, -76.835881, -76.838502, -76.839947, -76.839076, 38.946864, 38.947108, 38.947335, 38.947121, 38.946874, 
38.946643, 38.946069, 38.944333, 38.944099, 38.941246, 38.936137, 38.928949, 38.927394, 38.92398, 38.922698, 38.9211, 38.921085, 38.919792, 38.91978, 38.919258, 38.921097, 38.923396, 38.924253, 38.928659, 38.929499, 38.930885, 38.930836, 38.932167, 38.932828, 38.934494, 38.935267, 38.936008, 38.935867, 38.938707, 38.943585, 38.94501, 38.946864)))"
24033803513,Census Tract 8035.13; Prince George's County; Maryland,B19013_001,97829,36014,"list(list(c(-76.839306, -76.835427, -76.831997, -76.831921, -76.830418, -76.824973, -76.819598, -76.816984, -76.814668, -76.811481, -76.810993, -76.813747, -76.816727, -76.821473, -76.828418, -76.830301, -76.832549, -76.834378, -76.836124, -76.837555, -76.839306, 38.894751, 38.896445, 38.898325, 38.898104, 38.895035, 38.890815, 38.887944, 38.886387, 38.884307, 38.879545, 38.879051, 38.878296, 38.878204, 38.879807, 38.879023, 38.881492, 38.883487, 38.885172, 38.887641, 38.890776, 38.894751)))"
24033801709,Census Tract 8017.09; Prince George's County; Maryland,B19013_001,69146,21312,"list(list(c(-76.988031, -76.986438, -76.977526, -76.972119, -76.969843, -76.964011, -76.964242, -76.968936, -76.968835, -76.967553, -76.96591, -76.963139, -76.961257, -76.958048, -76.956201, -76.950903, -76.951082, -76.949961, -76.949684, -76.94877, -76.956465, -76.960602, -76.96691, -76.970463, -76.968386, -76.968644, -76.973235, -76.973677, -76.974317, -76.974464, -76.986033, -76.986696, -76.988347, -76.988031, 38.82046, 38.818815, 38.817148, 38.817478, 38.817048, 38.81717, 38.817507, 38.822419, 
38.822611, 38.827931, 38.826585, 38.826228, 38.826931, 38.82674, 38.827743, 38.827917, 38.824603, 38.823461, 38.818401, 38.817279, 38.81479, 38.813098, 38.809432, 38.808777, 38.810655, 38.811149, 38.810858, 38.811064, 38.813714, 38.814163, 38.817063, 38.818483, 38.820343, 38.82046)))"
24033806713,Census Tract 8067.13; Prince George's County; Maryland,B19013_001,63293,13823,"list(list(c(-76.912037, -76.911672, -76.910241, -76.903326, -76.903238, -76.902379, -76.902108, -76.902669, -76.901307, -76.904478, -76.901694, -76.898811, -76.895471, -76.90043, -76.90081, -76.902503, -76.904586, -76.912075, -76.912037, 38.998021, 38.99965, 39.001462, 39.000799, 39.003586, 39.00467, 39.004856, 39.005241, 39.007292, 39.009236, 39.009887, 39.006767, 39.002931, 38.996168, 38.99618, 38.996292, 38.996583, 38.997882, 38.998021)))"
24033807409,Census Tract 8074.09; Prince George's County; Maryland,B19013_001,101761,4893,"list(list(c(-76.962097, -76.957525, -76.95558, -76.952721, -76.94809, -76.947698, -76.946314, -76.941905, -76.938469, -76.937686, -76.93331, -76.932454, -76.930883, -76.932548, -76.937078, -76.940033, -76.943523, -76.943312, -76.947699, -76.949436, -76.949745, -76.95226, -76.950922, -76.953161, -76.953953, -76.956751, -76.958319, -76.960144, -76.962097, 39.031208, 39.037668, 39.039938, 39.039016, 39.04013, 39.039742, 39.041757, 39.044588, 39.046663, 39.047118, 39.049671, 39.050096, 39.050734, 39.047051, 
39.040143, 39.036184, 39.03342, 39.033024, 39.029664, 39.024031, 39.025654, 39.027744, 39.030757, 39.031589, 39.032267, 39.03147, 39.032001, 39.030621, 39.031208)))"
